,0-20,,,,,,,,,,,,,,,,,,,,,,
Red,"Pabzzz","Brous One","Tommy Flanagan, Ron Carter & Tony Williams
","Dan Cray Trio","Sunparlour Players","Roadkill Ghost Choir","SG Lewis","The White Stripes",,,,,,,,,,,,,,,
Orange,"Bedrich Smetana","Living Room","Gustav Holst","Joe Corfield","Groove Collective","Simon Jefferis","Holley Maher",,,,,,,,,,,,,,,,
Yellow,"Little Green Cars","Austin Basham","BROCKBEATS","Esbj�rn Svensson Trio
","Califone","Tutlie","Skalpel","Otesla",,,,,,,,,,,,,,,

Green,"Ra Ra Raj","Bob Marley & The Wailers","Nils Petter Molv�_r","DJ Cam","Fossil Collective",,,,,,,,,,,,,,,,,,
Blue,"Frank Sinatra","Fedde Le Grand","David Nail",,,,,,,,,,,,,,,,,,,,
Purple,"Alex Tronic","Electric Wire","Various Artists","The Greg Foat Group",,,,,,,,,,,,,,,,,,,
Pink,"Dewaldo","Yelena Eckemoff","fantompower","Cbakl","Drake",,,,,,,,,,,,,,,,,,
Brown,"Ziggy Marley","Tory Lanez","Dolly Parton",,,,,,,,,,,,,,,,,,,,

Black,"M�tley Cr�e","Late Night Alumni","Lady Leshurr","Sunfreakz","Jeremih","Helloween","Black Sabbath","Metallica","Ann Peebles","The White Stripes","Nicky Jam","Black Sabbath","Van Halen","Creedence Clearwater Revival","Black Sabbath",,,,,,,,
White,"Arvo P�_rt","Etta James","The Head and the Heart","The Kinks","Stan Getz","The Band",,,,,,,,,,,,,,,,,
Beige,"Martha Reeves & The Vandellas",,,,,,,,,,,,,,,,,,,,,,
Gray,"Judas Priest","Rodney Atkins","Claudio Monteverdi","Luke Bryan","Count Basie","John Prine","Fall Out Boy","Iron Maiden","Donovan","The Wind and The Wave","Joan Baez","Steve James","Richard Strauss","Jacob Forever","Bring Me The Horizon","Townes Van Zandt","Jeremih","Eric Prydz","Shovels & Rope","Chayanne","EMF",,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,

21-40,,,,,,,,,,,,,,,,,,,,,,

Red,"Various Artists","Steve Tyssen","The Cinematic Orchestra","Seth Avett & Jessica Lea Mayfield","Halsey","Good Advice","Johnny Flynn","Cascada",,,,,,,,,,,,,,,
Orange,"Sam Feldt","Various Artists","Joe Purdy",,,,,,,,,,,,,,,,,,,,

Yellow,"Otesla","Laura Gibson","Jean Sibelius","Michael Finnissy","All Our Exes Live in Texas","Haley Heynderickx",,,,,,,,,,,,,,,,,
Green,"The Sea The Sea","Jimmy Dorsey & His Orchestra","Klymaxx",,,,,,,,,,,,,,,,,,,,

Blue,"Parker","Logic","The Staves","Danny Ocean",,,,,,,,,,,,,,,,,,,
Purple,"Whitney Rose","Ursula Oppens","Mujo","Beegie Adair
","TWICE",,,,,,,,,,,,,,,,,,
Pink,"Juan Rios","The Harmaleighs","emune","Scott Hamilton","Dori Freeman","Jean Sibelius",,,,,,,,,,,,,,,,,

Brown,"David Bowie","The Offspring","Ferry Corsten","Alexander Borodin","Mel Tillis","Yo-Yo","Romeo Santos","Morgan Page","Lawrence Welk","Pablo Moses",,,,,,,,,,,,,
Black,"Boston","Pink Floyd","Roxanne Shante","Welshly Arms","Metallica","Tom Waits","Isaac Alb�niz",,,,,,,,,,,,,,,,
White,"Fleetwood Mac","John Adams","Arvo P�rt","moow
","Leikeli47",,,,,,,,,,,,,,,,,,
Beige,,,,,,,,,,,,,,,,,,,,,,,
Gray,"Kaskade","Armin van Buuren","Lou Reed","Van Halen","Zara Larsson","Edward Sharpe & The Magnetic Zeros","John De Sohn","T.I.","Shakira","Prophets Of Rage","Fairport Convention","PENTAGON","Lyn Collins","The Byrds","Anton�n Dvo_�k","Dustin Lynch","Joachim Garraud","Imagine Dragons","Natalie Cole","Seal","Joaqu�n Rodrigo",,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,

41-60,,,,,,,,,,,,,,,,,,,,,,
Red,"Rick Trevino","Tied & Tickled Trio","Erik Satie","Johann Sebastian Bach","Delroy Wilson","Hal Ketchum","Various Artists","Monsta X","Jacob Banks","Rita Marley",,,,,,,,,,,,
,
Orange,"Xploding Plastix","Wild Rivers","Iron & Wine","Garmiani","Joey Pecoraro","The Struts","joeshort","Galantis",,,,,,,,,,,,,,,
Yellow,"Karen Dalton","GurtyBeats","Axian",,,,,,,,,,,,,,,,,,,,

Green,"Randy Houser","Chely Wright","Gregory Isaacs","Toots & The Maytals","Daryle Singletary","Matisse & Sadko","Deniece Williams","Stephen Marley","Johann Pachelbel","Don Omar","Joe","Israel Vibration","Jidenna","Cream","Juelz Santana","Megadeth","Donovan","Anti-Flag","Dierks Bentley","Bob Marley & The Wailers","Weezer",,
Blue,"Dreezy","Dionne Warwick","J Balvin","The Killers","Axwell","John Paul White","Mary J. Blige","J Balvin","DJ Khaled","Richard Thompson","Fear Factory","AWOLNATION","IZECOLD","Patti LaBelle","KARD","The Beatles","Led Zeppelin","halberd",,,,,

Purple,"Shigeto","BLACKPINK","Marvin Gaye","Franz Schubert","Jarryd James","Hawks","Mark Knight",,,,,,,,,,,,,,,,
Pink,"Devendra Banhart","BLACKPINK","TWICE","Rico Nasty","Miley Cyrus","Major Lazer","Romy",,,,,,,,,,,,,,,,
