,Spring,,,,,,,,,,,,,,,,,,,,,,
Red,"https://i.scdn.co/image/29b5798d8694e956515360686d0352d18bb5d94b","https://i.scdn.co/image/a4608dfcd98cff4075707725acef57fc3139b666","https://i.scdn.co/image/a63c8327d08960468539a0729d6f9a593efae651","https://i.scdn.co/image/20b4c86796de4de4f19032b2ce47e120ef4ae4b3","https://i.scdn.co/image/53e089d368f4ffe69ac66ef7acd03cf273db9f23","https://i.scdn.co/image/0a11bb546557b3b02f02903476fe13f52a052ad1","https://i.scdn.co/image/ea5042cfa65e45e54b0e30afb6474627f9443e7c","https://i.scdn.co/image/f2a78d9d285ea041ddae740974ab1212f0fcffb4",,,,,,,,,,,,,,,
Orange,"https://i.scdn.co/image/2d6804b4b59ed8329cebe9fba23969e28c3084c1","https://i.scdn.co/image/9077691f5cffc5a3f2869de0afffd7de32668287","https://i.scdn.co/image/59511babe153ed39af47f453fadf7afa05098251",,,,,,,,,,,,,,,,,,,,
Yellow,"https://i.scdn.co/image/78a9bfda0ad4a4bc41ff301fa4a1349483d6af1c","https://i.scdn.co/image/4ff077bc2206837813f3c263bdc6c71d53350cdd","https://i.scdn.co/image/c20a59e24695b25adaa527c50f8bcb896e04d3af","https://i.scdn.co/image/d60662ed9ab05f1dc0b0fc6bd0f5fec2dc8cba4a","https://i.scdn.co/image/87e10121fe0b6d7a31fc1ea7369a60c81feefb7f","https://i.scdn.co/image/56e1e3fed4a5e4ad008abd81e424c042d6dafd47","https://i.scdn.co/image/e891c871121bd87b44e4ade7c4924e24f9ee5748","https://i.scdn.co/image/8a4d38f782bfd847f6544cbff2a113a0d4a8c10f","https://i.scdn.co/image/7ec50960d7cbc81f3ccc127fc3ba3102d324cd23","https://i.scdn.co/image/f0996a03df8f0e8a92041249a47606a020ace8ed",,,,,,,,,,,,,
Green,"https://i.scdn.co/image/55fc98aa45746edf3e6334bcd1a8f1d35c3f9ffc","https://i.scdn.co/image/fbf08c435581f1f35da79413ec1f4eb88b8505aa","https://i.scdn.co/image/021195b736a567fbe27ae2e84c55bd2f6721a892","https://i.scdn.co/image/16d1632ac57f28682239e14ddc5cf37c3beba070","https://i.scdn.co/image/c34dd22b96e2fe11f75a9db24d1a6a3382832f77","https://i.scdn.co/image/098e1f2c7932149607e373af1bf5a5c70c27bc81","https://i.scdn.co/image/5cd8a1457a89eaa4bad2fa5a537ff787cf9537f7","https://i.scdn.co/image/8b6238186da6c5c9b0ff756065883aa1a8fbd339","https://i.scdn.co/image/c2a79e47d7487784c3be29841d3fa2bcf6b6558b","https://i.scdn.co/image/60a7b8672c73d0d46e3233e41028af19ceae159c","https://i.scdn.co/image/754cd74243586dff71a212554eaef61a10a8b3a3","https://i.scdn.co/image/5024cde5f8bf700c7d17b7129ee18a4acf1537cd","https://i.scdn.co/image/afafc10482a1ff22802c60e1670a36ec63ba5eaf","https://i.scdn.co/image/b63a4c4bf11b45d02f3c7c2deba7f77867e4cffb","https://i.scdn.co/image/7041df5b2fbbe32abc7923e5d06417b2b8497900","https://i.scdn.co/image/9c253fc780b8b7797de07a848142fdbd3be87227",,,,,,,
Blue,"https://i.scdn.co/image/017f05aea238929a9b3970743a879c90bfff23ca","https://i.scdn.co/image/e6a84983ed9b0a04ce633b021329f7df034e7c7c","https://i.scdn.co/image/d994664fe58a6436a4ba4195617463cc8d60ed1d","https://i.scdn.co/image/2ea8b06d4eb92c2c9f0a1ac6f31398c2d5bacb3e","https://i.scdn.co/image/06cae8d5a5c1a1e8d9e41a8c4f0866936a55515d","https://i.scdn.co/image/ac40569e12ae690607a22b41eb77e6681a9f5155","https://i.scdn.co/image/6c815ce2d920f7b9fe8c5ced8de3fbb92086d5ec","https://i.scdn.co/image/1d1f1da622055407f1154e1af93a51a629c84a01","https://i.scdn.co/image/dc5c13d9d7e1f2bd57ee3cecc6a9f55e412e5092","https://i.scdn.co/image/8581cb58ce928aad955ae68087665a66562c550d","https://i.scdn.co/image/c6b8d1bdc7b02768d0b0478475768ad802ffbbae","https://i.scdn.co/image/4facb5fd9475b9bf907fbe931de12e9914afa0cc","https://i.scdn.co/image/271fc4b3c6f97013399bc0bf8d1507b12ddb30d9","https://i.scdn.co/image/0b5ec7a2f7999ab456f40337a7743c4a882f2531","https://i.scdn.co/image/b4b907579f0c68b81fa98e16478351bdcd943f94","https://i.scdn.co/image/8ab74ab918a0cc8fd5799ddc6c0a90fbd1de7198","https://i.scdn.co/image/3b1f17f0694f9c3ddc8e126582123ea8a3f384d1","https://i.scdn.co/image/0e19be1aa9cb8abb17af8103b7bd7a2f0d649df2","https://i.scdn.co/image/6a47f5f74453fa2671335a1e959dcdc88d2097ec","https://i.scdn.co/image/992caf963513d3408f1474266238ec870164fe9a","https://i.scdn.co/image/89b1fe9fdcefcc738e7af734901c26aac8943c91",,
Purple,"https://i.scdn.co/image/43878224b9393aafa13120751cf9a3acf234c255","https://i.scdn.co/image/802982d4b4a85ce7c1fa5744abc74fb7448b18c1","https://i.scdn.co/image/bdfbd2799f070f8ebf4d288a0467b2637f27168f",,,,,,,,,,,,,,,,,,,,
Pink,"https://i.scdn.co/image/2f4c005f07579f67d5e3f29c6c9bfe670e16c1a2","https://i.scdn.co/image/0a37a0864f1ba09516e0c5cd614499bfd2d62560","https://i.scdn.co/image/421c9ed5c525deab1f57e7ebac6fb295db1a5f9f","https://i.scdn.co/image/cbaae5a0a78584e707943c56035123195639a48b","https://i.scdn.co/image/229c6e3d4c3fb080e4437e5cc4b0158ee438799d",,,,,,,,,,,,,,,,,,
Brown,"https://i.scdn.co/image/2f4c005f07579f67d5e3f29c6c9bfe670e16c1a2","https://i.scdn.co/image/0a37a0864f1ba09516e0c5cd614499bfd2d62560","https://i.scdn.co/image/421c9ed5c525deab1f57e7ebac6fb295db1a5f9f","https://i.scdn.co/image/cbaae5a0a78584e707943c56035123195639a48b","https://i.scdn.co/image/229c6e3d4c3fb080e4437e5cc4b0158ee438799d",,,,,,,,,,,,,,,,,,
Black,"https://i.scdn.co/image/8e653240017bbb3fba7313dfa4a887cc06a4a238","https://i.scdn.co/image/dfbaa65e99a6635dd7c571dc5ae9faf93b3af189","https://i.scdn.co/image/b9970bf538c792d2fd116c1671a4a29162b7f01f","https://i.scdn.co/image/61bf0f05ca64701f65e1a7f2cc317030f05f5f05","https://i.scdn.co/image/01f338cac71773d30f27b602d7536be44732272f","https://i.scdn.co/image/349233b69c00443027d16d3c09092ac36800bb6e","https://i.scdn.co/image/e061d2eea139965cca82778f7d6f822384d2a344","https://i.scdn.co/image/594bb6fda34f07fe96da938135478baa8727889d","https://i.scdn.co/image/66eb75e0f3a8a91822ba7154e4b41066e63e51f2","https://i.scdn.co/image/595846b1b208b9edfb91ee79b5b886456856da9f","https://i.scdn.co/image/d9725e2b22846cf72189123fd1d5c802125faf7a","https://i.scdn.co/image/63a37f32006eab70bd58c892e4098f2a84bb915e","https://i.scdn.co/image/24ba490f0cd64ba1aa7cd5571de6b583a2c27caf","https://i.scdn.co/image/9335a9345ed3624fb673c6848268c07b6c2cad54","https://i.scdn.co/image/b3d71d7a20d41146f24a7569c0869dfb3b16e860","https://i.scdn.co/image/e5f5a50956c2c7dd5411051ca507b4f771d6d816","https://i.scdn.co/image/9ea9889e18816427374c1e6f86d170ea6553ef5f","https://i.scdn.co/image/8592efd7ec9a986fce9b248475ea5133480031e7","https://i.scdn.co/image/339704434b2733dbeb446472e588d03d5423084b","https://i.scdn.co/image/baf79647f960a210a9c6e3141d4b84b87fbb263b","https://i.scdn.co/image/73304c633fc963d765eeb5dbbad040b2f01fe4de",,
