,"Spring",,,,,,,,,,,,,,,,,,,,
"Red","Steve Tyssen","Erik Satie","Eve","Pabzzz","Third Eye Blind","The White Stripes","Seth Avett & Jessica Lea Mayfield","Hal Ketchum",,,,,,,,,,,,,
"Orange","Axwell /\ Ingrosso","Wild Rivers","joeshort",,,,,,,,,,,,,,,,,,
"Yellow","Little Green Cars","Otesla","Laura Gibson","Esbj�rn Svensson Trio","All Our Exes Live in Texas","Tutlie","Austin Basham","Benny Benassi","Skalpel","Karen Dalton",,,,,,,,,,,
"Green","Israel Vibration","Donovan","Major Lazer","Diamond Rio","Aerosmith","The Offspring","Creedence Clearwater Revival","OneRepublic","Shawn Mendes","Weezer","Fossil Collective","Ra Ra Raj","Daryle Singletary","Playboi Carti","Young M.A","Chely Wright",,,,,
"Blue","DJ Khaled","Ed Sheeran","CNCO","gnash","Maluma","The Staves","Frank Sinatra","Gente De Zona","Dionne Warwick","Logic","Fifth Harmony","Fear Factory","Richard Thompson","Weezer","The Beatles","The Who","AC/DC","Axwell","IZECOLD","Kelly Rowland","Yellow Claw"
"Purple","Run�D.M.C.","Jarryd James","Various Artists",,,,,,,,,,,,,,,,,,
"Pink","fantompower","Dewaldo","Devendra Banhart","Nicki Minaj","The Harmaleighs",,,,,,,,,,,,,,,,
"Brown","Lawrence Welk","Phil Ochs","The Diplomats","Enrique Iglesias","The Lady Of Rage","Thal�a","Yo-Yo","The Doors","Thomas Rhett","Jimi Hendrix","Benny Goodman","Free","David Bowie","The Rolling Stones","Michael Bubl�","Mel Tillis","Ferry Corsten","Pablo Moses","Jo Dee Messina","Astor Piazzolla","The Offspring"
"Black","Tom Waits","K.Flay","Wisin","Valentino","Roxanne Shante","Johann Sebastian Bach","Kamaiyah","EXO","System Of A Down","Coldplay","Testament","Fall Out Boy","Sepultura","The Shapeshifters","Calvin Harris","Pink Floyd","Lil Wayne","Wisin","ZZ Top","Tom Hangs","Late Night Alumni"
"White","Leikeli47","Ralph Vaughan Williams","Beta Radio","B�la Bart�k","Glenn Miller","Luis Fonsi","Maite Perroni","OMI","IU","WINNER","Katy Perry","Etta James",,,,,,,,,
"Beige","Protoje","Lynyrd Skynyrd","Shakira","The Mamas & The Papas","The Chainsmokers","Alien Ant Farm","Cage The Elephant","Carlos Vives",,,,,,,,,,,,,
"Gray","Sergei Rachmaninoff","Christoph Willibald Gluck","Fantasia","Aaliyah","Bob Marley & The Wailers","Cam�ron","Aaron Tippin","Arnold Schoenberg","Alabama Shakes","Creedence Clearwater Revival","Disturbed","Nine Inch Nails","Don Omar","Papa Roach","Enrique Iglesias","The Chainsmokers","Tamia","Drake","Chayanne","B.o.B","Piso 21"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Summer",,,,,,,,,,,,,,,,,,,,
"Red","Rita Marley","Halsey","Usher","2 Chainz","Queens of the Stone Age","Roadkill Ghost Choir","Halsey","Various Artists","David Guetta","SG Lewis","Queens of the Stone Age",,,,,,,,,,
"Orange","Bed_ich Smetana","FTampa","Sam Feldt","Various Artists","Gustav Holst","Iron & Wine","The Struts","Xploding Plastix","Joe Corfield",,,,,,,,,,,,
"Yellow","BROCKBEATS","Otesla","Axian",,,,,,,,,,,,,,,,,,
"Green","Bob Marley & The Wailers","Gregory Isaacs","ZZ Top","Jimmy Dorsey & His Orchestra","Kid Rock","Becky G","Korn","The Doobie Brothers","Anti-Flag","Johann Pachelbel","Nils Petter Molv�r","Deniece Williams","Don Omar",,,,,,,,
"Blue","halberd","Lulleax","Beyonc�","Eric Church","J Balvin","Jennifer Lopez","Lil Pump","System Of A Down","Fedde Le Grand","Martin Garrix","Metallica","The Killers","John Paul White","San Holo","David Nail","The Killers","J Balvin",,,,
"Purple","Marvin Gaye","Mark Knight","BLACKPINK","The Greg Foat Group","Beegie Adair","Red Hot Chili Peppers",,,,,,,,,,,,,,,
"Pink","Major Lazer","Jean Sibelius","Romy","BLACKPINK","Wanna One","Drake","emune",,,,,,,,,,,,,,
"Brown","Ini Kamoze","George Gershwin","Sebastian Yatra","Sie7e","Judas Priest","DJ Khaled","Major Lazer","Ms. Lauryn Hill","Minnie Riperton","Bacilos","J. Roddy Walston & The Business","Pearl Jam","Tory Lanez","Nick Mulvey","Luke Bryan","Royal Blood","Romeo Santos","Vance Joy","Little Texas","Frank Ocean","J.J. Fad"
"Black","Joni Mitchell","K. Michelle","Nina Simone","PARTYNEXTDOOR","Helloween","The White Stripes","Major Lazer","Chef'Special","Foster The People","Hailee Steinfeld","Guns N' Roses","Alice Cooper","Boston","Ludwig van Beethoven","X Ambassadors","Taio Cruz","Metallica","Guns N' Roses","Rammstein","Flo Rida","AC/DC"
"White","Bomba Est�reo","EXO","The Head and the Heart","Kaskade","Bob Marley & The Wailers","Coldplay","The Band","EXO","Ozuna",,,,,,,,,,,,
"Beige","Crime Mob","Gioachino Rossini","Jesse & Joy","Tim Buckley","A$AP Ferg","Alborosie","Billie Eilish","Big Brother & The Holding Company",,,,,,,,,,,,,
"Gray","Judy Collins","Anton Bruckner","Grayson Capps","Shovels & Rope","Johann Sebastian Bach","Gregory Isaacs","Richard Wagner","NCT 127","En Vogue","SZA","Juelz Santana","Jane's Addiction","Damian Marley","Nikolai Rimsky-Korsakov","Jon Bellion","X Ambassadors","Rodney Atkins","Joey MonBeigea","Matisse","MC Lyte","AJR"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Fall",,,,,,,,,,,,,,,,,,,,
"Red","Jacob Banks","Johann Sebastian Bach","TAEMIN","Tommy Flanagan, Ron Carter & Tony Williams","Aerosmith","Rick Trevino","The Cinematic Orchestra","Sunparlour Players","Dan Cray Trio","Kanye West","Monsta X","Brous One","Various Artists",,,,,,,,
"Orange","Joe Purdy","Garmiani","Galantis","Simon Jefferis",,,,,,,,,,,,,,,,,
"Yellow","Califone","Marshmello",,,,,,,,,,,,,,,,,,,
"Green","James Taylor","Bishop Briggs","Bob Marley & The Wailers","M�tley Cr�e","Marilyn Manson","Juelz Santana","Joe","Cream","Matisse & Sadko","Jhene Aiko","Klymaxx","Five Finger Death Punch","Post Malone","De La Ghetto","Hozier","Megadeth",,,,,
"Blue","Alexis y Fido","Fall Out Boy","Bryson Tiller","Justin Bieber","KARD","Tinashe","Clean Bandit","Danny Ocean","Camila Cabello","Ed Sheeran","Nirvana","EXO","Mary J. Blige","Dreezy","Parker","Green Day",,,,,
"Purple","Hawks","Ursula Oppens","Shigeto","Daddy Yankee","Electric Wire","Nicki Minaj","TWICE","Alex Tronic","Whitney Rose","Mujo",,,,,,,,,,,
"Pink","Juan Rios","TWICE","Karol G","Miley Cyrus","Cbakl","Rico Nasty","Dori Freeman",,,,,,,,,,,,,,
"Brown","21 Savage","Lil' Kim","Alexander Borodin","Count Basie","Skeme","Jean Knight","Iron Maiden","Miley Cyrus","Ella Vos","Korn","Vince Gill","Jimi Hendrix","Beastie Boys","Ram Jam","Morgan Page","Stone Temple Pilots","Eric Bellinger","Van Morrison","Mark Chesnutt","Green Day","The Weeknd"
"Black","Lalah Hathaway","Rapsody","Gustav Mahler","Lil Uzi Vert","Bobby Darin","Lorde","Rage Against The Machine","Pitbull","Diamond Head","PnB Rock","Zion & Lennox","Monsta X","M�tley Cr�e","Limp Bizkit","Crazy Town","Volbeat","Cold War Kids","A Perfect Circle","Fran�ois Couperin","Stevie Nicks","All That Remains"
"White","Queen","Arvo P�rt","Sam Smith","Golden Earring","Pink Floyd","Jet","Franz Joseph Haydn","St Germain","The Marvelettes","The Black Keys","The Kinks","Dire Straits","Kings of Leon","Oasis","10 Years",,,,,,
"Beige","Aaron Copland","Kansas","Queen Latifah","Kash Doll","Derek & The Dominos","Toni Braxton","Martha Reeves & The Vandellas",,,,,,,,,,,,,,
"Gray","Mr Eazi","Whitney Houston","Junior Kelly","Maurice Ravel","Henry","Dave Van Ronk","Damian Marley","Niall Horan","Beyonc�","Seal","Audioslave","Xscape","Queen","Remy Ma","Miguel","Jason Derulo","Steve Miller Band","Dustin Lynch","Igor Stravinsky","Slayer","50 Cent"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Winter",,,,,,,,,,,,,,,,,,,,
"Red","Delroy Wilson","Johnny Flynn","Tied & Tickled Trio","Kehlani","Good Advice","Cascada",,,,,,,,,,,,,,,
"Orange","Joey Pecoraro","Holley Maher","Illenium","Living Room","Groove Collective",,,,,,,,,,,,,,,,
"Yellow","Jean Sibelius","GurtyBeats","Haley Heynderickx","Michael Finnissy",,,,,,,,,,,,,,,,,
"Green","DJ Cam","The Sea The Sea","Jidenna","Randy Houser","Dierks Bentley","Megadeth","R3HAB","Cole Swindell","Toots & The Maytals","Stephen Marley",,,,,,,,,,,
"Blue","Ed Sheeran","Jeremih","Selena Gomez & The Scene","Patti LaBelle","The Smashing Pumpkins","AWOLNATION","Troye Sivan",,,,,,,,,,,,,,
"Purple","Various Artists","Franz Schubert",,,,,,,,,,,,,,,,,,,
"Pink","Yelena Eckemoff","Scott Hamilton",,,,,,,,,,,,,,,,,,,
"Brown","Camille Saint-Sa�ns","Illenium","Led Zeppelin","Jason Derulo","Jocelyn Brown","Lit","Dolly Parton","Rihanna","Fats Domino","Paulina Rubio","Blur","Modest Mussorgsky","Kari Faux","Post Malone","Post Malone","Future","The Romantics","Inner Circle","Bush",,
"Black","Aquilo","Van Halen","Van Halen","KARD","Reykon","Franz Ferdinand","Randy Crawford","Isaac Alb�niz","Avicii","Hardwell","Jeremih","Lady Leshurr","W&W","Creedence Clearwater Revival","Welshly Arms","Migos","Tash SulBeigea","Shania Twain","The Chainsmokers","Ann Peebles","Juelz Santana"
"White","Stan Getz","Franz Liszt","moow","Chanyeol","Bill Evans","Gladys Knight & The Pips","Chino & Nacho","Julia Michaels","John Adams","Nicki Minaj","Fleetwood Mac","Arvo P�rt",,,,,,,,,
