,"40-60",,,,,,,,,,,,,,,,,,,,
"Red",,,,,,,,,,,,,,,,,,,,,
"Orange",,,,,,,,,,,,,,,,,,,,,
"Yellow",,,,,,,,,,,,,,,,,,,,,
"Green",,,,,,,,,,,,,,,,,,,,,
"Blue",,,,,,,,,,,,,,,,,,,,,
"Purple",,,,,,,,,,,,,,,,,,,,,
"Pink",,,,,,,,,,,,,,,,,,,,,
"Brown",,,,,,,,,,,,,,,,,,,,,
"Black",,,,,,,,,,,,,,,,,,,,,
"White",,,,,,,,,,,,,,,,,,,,,
"Beige",,,,,,,,,,,,,,,,,,,,,
"Gray","Judy Collins",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"61-80",,,,,,,,,,,,,,,,,,,,
"Red","Jacob Banks","Johann Sebastian Bach","Delroy Wilson",,,,,,,,,,,,,,,,,,
"Orange","Bed_ich Smetana",,,,,,,,,,,,,,,,,,,,
"Yellow","BROCKBEATS","Little Green Cars",,,,,,,,,,,,,,,,,,,
"Green","Bob Marley & The Wailers","Gregory Isaacs","James Taylor","Israel Vibration","Bishop Briggs","DJ Cam","Donovan","Major Lazer",,,,,,,,,,,,,
"Blue",,,,,,,,,,,,,,,,,,,,,
"Purple","Hawks",,,,,,,,,,,,,,,,,,,,
"Pink","Major Lazer",,,,,,,,,,,,,,,,,,,,
"Brown","Ini Kamoze","21 Savage","Lawrence Welk","George Gershwin","Camille Saint-Sa�ns",,,,,,,,,,,,,,,,
"Black","Lalah Hathaway","Joni Mitchell","K. Michelle","Aquilo","Rapsody","Nina Simone",,,,,,,,,,,,,,,
"White","Leikeli47","Stan Getz","Queen","Franz Liszt","Ralph Vaughan Williams","moow","Beta Radio","Chanyeol","Arvo P�rt",,,,,,,,,,,,
"Beige","Crime Mob","Aaron Copland",,,,,,,,,,,,,,,,,,,
"Gray","Anton Bruckner","Mr Eazi","Grayson Capps","Whitney Houston","Shovels & Rope","Gabriel Faur�","Sergei Rachmaninoff","Christoph Willibald Gluck","Junior Kelly","Dustin Lynch","Johann Sebastian Bach","Maurice Ravel","Fantasia","Five Finger Death Punch","Henry","Dave Van Ronk","Gregory Isaacs","Damian Marley","Niall Horan","Richard Wagner","NCT 127"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"81-100",,,,,,,,,,,,,,,,,,,,
"Red","Steve Tyssen","Erik Satie","Rita Marley","Eve","Halsey","Usher","2 Chainz","Queens of the Stone Age","Pabzzz","Roadkill Ghost Choir","TAEMIN",,,,,,,,,,
"Orange","Joey Pecoraro","Holley Maher","Joe Purdy","Illenium","FTampa","Living Room",,,,,,,,,,,,,,,
"Yellow","Otesla","Laura Gibson","Esbj�rn Svensson Trio","Califone","All Our Exes Live in Texas","Jean Sibelius","GurtyBeats","Tutlie",,,,,,,,,,,,,
"Green","ZZ Top","The Sea The Sea","Bob Marley & The Wailers","Jimmy Dorsey & His Orchestra","M�tley Cr�e","Kid Rock","Diamond Rio","Marilyn Manson","Jidenna","Becky G","Aerosmith",,,,,,,,,,
"Blue","DJ Khaled","halberd","Ed Sheeran","CNCO","gnash","Maluma","The Staves","Frank Sinatra","Alexis y Fido","Gente De Zona","Fall Out Boy","Ed Sheeran","Lulleax","Bryson Tiller","Jeremih","Dionne Warwick","Beyonc�","Justin Bieber","KARD",,
"Purple","Ursula Oppens","Marvin Gaye",,,,,,,,,,,,,,,,,,,
"Pink","Juan Rios","fantompower","Dewaldo","Jean Sibelius",,,,,,,,,,,,,,,,,
"Brown","Phil Ochs","The Diplomats","Lil' Kim","Alexander Borodin","Count Basie","Illenium","Enrique Iglesias","Sebastian Yatra","Skeme","The Lady Of Rage","Jean Knight","Led Zeppelin","Sie7e","Thal�a","Iron Maiden","Miley Cyrus","Judas Priest","Yo-Yo","DJ Khaled","Major Lazer","Jason Derulo"
"Black","Gustav Mahler","Lil Uzi Vert","Bobby Darin","Lorde","PARTYNEXTDOOR","Tom Waits","K.Flay","Rage Against The Machine","Pitbull","Diamond Head","Helloween","The White Stripes","Wisin","PnB Rock","Major Lazer","Chef'Special","Zion & Lennox","Monsta X","Van Halen","Valentino","M�tley Cr�e"
"White","B�la Bart�k","Glenn Miller","Bill Evans","Luis Fonsi","Gladys Knight & The Pips","Sam Smith","Maite Perroni","Bomba Est�reo","EXO","OMI",,,,,,,,,,,
"Beige","Protoje","Van Morrison","Gioachino Rossini","Kansas","Queen Latifah","Lynyrd Skynyrd",,,,,,,,,,,,,,,
"Gray","Juelz Santana","Seal","Audioslave","Led Zeppelin","Xscape","Pyotr Ilyich Tchaikovsky","Queen","Remy Ma","Miguel","Jason Derulo","Jane's Addiction","Cam�ron","Steve Miller Band","Aaron Tippin","Damian Marley","Dustin Lynch","Igor Stravinsky","Arnold Schoenberg","Slayer","Alabama Shakes","Luis Fonsi"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"101-120",,,,,,,,,,,,,,,,,,,,
"Red","Third Eye Blind","Tommy Flanagan, Ron Carter & Tony Williams","Johnny Flynn","Aerosmith","Tied & Tickled Trio","Halsey","Various Artists","Rick Trevino",,,,,,,,,,,,,
"Orange","Garmiani",,,,,,,,,,,,,,,,,,,,
"Yellow","Austin Basham",,,,,,,,,,,,,,,,,,,,
"Green","Juelz Santana","Joe","Korn","The Offspring","Randy Houser","The Doobie Brothers","Dierks Bentley","Megadeth","Cream","Creedence Clearwater Revival",,,,,,,,,,,
"Blue","Logic","Tinashe","Clean Bandit","Eric Church","J Balvin","Danny Ocean","Fifth Harmony","Camila Cabello","Jennifer Lopez","Fear Factory","Ed Sheeran","Nirvana","Selena Gomez & The Scene","Patti LaBelle","Lil Pump",,,,,,
"Purple","Run�D.M.C.","Shigeto",,,,,,,,,,,,,,,,,,,
"Pink","Yelena Eckemoff","Scott Hamilton","Devendra Banhart","Romy",,,,,,,,,,,,,,,,,
"Brown","Minnie Riperton","Bacilos","Ella Vos","Jocelyn Brown","Lit","The Doors","Korn","J. Roddy Walston & The Business","Thomas Rhett","Pearl Jam","Tory Lanez","Jimi Hendrix","Nick Mulvey","Dolly Parton","Rihanna","Vince Gill","Jimi Hendrix","Benny Goodman","Beastie Boys","Luke Bryan","Ram Jam"
"Black","KARD","Kamaiyah","EXO","Reykon","Guns N' Roses","System Of A Down","Alice Cooper","Coldplay","Crazy Town","Testament","Volbeat","Franz Ferdinand","Cold War Kids","A Perfect Circle","Randy Crawford","Boston","Fran�ois Couperin","Ludwig van Beethoven","Stevie Nicks","All That Remains","Fall Out Boy"
