
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow,"Karen Dalton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,"Cream","Donovan",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue,"The Who",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,"Marvin Gaye",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,"Jimi Hendrix","Van Morrison","Jimi Hendrix","Led Zeppelin",,,,,,,,,,,,,,,,,,,,,,,,,,
Black,"Nina Simone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,"The Kinks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,"Tim Buckley","The Mamas & The Papas","Big Brother & The Holding Company","The Rolling Stones",,,,,,,,,,,,,,,,,,,,,,,,,,
Gray,"Bob Dylan","The Rolling Stones","Sergei Rachmaninoff","Bob Dylan","Buffalo Springfield","The Doors","Aretha Franklin","Cream","Crosby, Stills & Nash","The Byrds","The Beatles","Led Zeppelin","Creedence Clearwater Revival",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,"James Taylor","Deniece Williams","The Doobie Brothers","ZZ Top","Aerosmith",,,,,,,,,,,,,,,,,,,,,,,,,
Blue,"Led Zeppelin","The Beatles",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,"The Doors","The Rolling Stones","Dolly Parton","David Bowie",,,,,,,,,,,,,,,,,,,,,,,,,,
Black,"Mountain","Don McLean","Ann Peebles","Eagles","Joni Mitchell","Black Sabbath","T. Rex","Pink Floyd","Tom Waits","KISS","Boston","Van Halen","Van Halen","Ramones",,,,,,,,,,,,,,,,
White,"The Band","Queen","Fleetwood Mac","Dire Straits","Pink Floyd",,,,,,,,,,,,,,,,,,,,,,,,,
Beige,"Lynyrd Skynyrd","Kansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray,"Glenn Miller","Blue �yster Cult","The Marshall Tucker Band","Lynyrd Skynyrd","Aerosmith","Ted Nugent","Kansas","Blue �yster Cult","Max Romeo","John Prine","Bob Marley & The Wailers","The Who","The Hollies","The Rolling Stones","Lou Reed","Steve Miller Band","The Doobie Brothers","Bob Dylan","Led Zeppelin","Max Romeo","AC/DC",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red,"Erik Satie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,"Klymaxx","Toots & The Maytals","M�tley Cr�e","Megadeth",,,,,,,,,,,,,,,,,,,,,,,,,,
Blue,"AC/DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,"Franz Schubert","Run�D.M.C.","Red Hot Chili Peppers",,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,"Pablo Moses","Dio","Judas Priest","Jocelyn Brown","Ini Kamoze","George Gershwin","Beastie Boys","J.J. Fad","Phil Ochs",,,,,,,,,,,,,,,,,,,,,
Black,"Judas Priest","M�tley Cr�e","Def Leppard","Helloween","ZZ Top","Metallica","M�tley Cr�e","Guns N' Roses","Guns N' Roses","Testament","Isaac Alb�niz","Helloween","Sepultura",,,,,,,,,,,,,,,,,
White,"Bob Marley & The Wailers","Bill Evans","Arvo P�rt","John Adams","B�la Bart�k","Franz Joseph Haydn",,,,,,,,,,,,,,,,,,,,,,,,
Beige,"Martha Reeves & The Vandellas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
