,Red,Orange,Yellow,Green,Blue,Purple,Pink,Brown,Black,White,Beige,Gray
Rock,Queens of the Stone Age,The Struts,,Bishop Briggs,Fall Out Boy,,,Led Zeppelin,Tom Waits,Red Hot Chili Peppers,Van Morrison,Seal
,Third Eye Blind,,,Donovan,Nirvana,,,Iron Maiden,The White Stripes,Queen,Kansas,Led Zeppelin
,Aerosmith,,,ZZ Top,Weezer,,,Lit,Van Halen,Golden Earring,Lynyrd Skynyrd,Queen
,The White Stripes,,,Mötley Crüe,The Beatles,,,The Doors,Mötley Crüe,Pink Floyd,The Mamas & The Papas,Jane's Addiction
,Queens of the Stone Age,,,Kid Rock,The Smashing Pumpkins,,,J. Roddy Walston & The Business,Van Halen,Jet,Derek & The Dominos,Steve Miller Band
,,,,Aerosmith,The Who,,,Pearl Jam,Guns N' Roses,The Black Keys,The Rolling Stones,Alabama Shakes
,,,,The Offspring,AC/DC,,,Jimi Hendrix,Alice Cooper,The Kinks,Alien Ant Farm,Green Day
,,,,The Doobie Brothers,The Killers,,,Jimi Hendrix,Franz Ferdinand,The Band,Cage The Elephant,Led Zeppelin
,,,,Cream,AWOLNATION,,,Ram Jam,Cold War Kids,Dire Straits,Big Brother & The Holding Company,Creedence Clearwater Revival
,,,,Creedence Clearwater Revival,Led Zeppelin,,,Free,Boston,Fleetwood Mac,,The Doors
,,,,Anti-Flag,The Killers,,,Royal Blood,Stevie Nicks,Kings of Leon,,X Ambassadors
,,,,Weezer,Green Day,,,David Bowie,Fall Out Boy,Oasis,,Nine Inch Nails
,,,,,,,,The Rolling Stones,X Ambassadors,,,Whitesnake
,,,,,,,,Blur,Guns N' Roses,,,Papa Roach
,,,,,,,,Stone Temple Pilots,Pink Floyd,,,Red Hot Chili Peppers
,,,,,,,,Harvey Danger,ZZ Top,,,Linkin Park
,,,,,,,,Steppenwolf,T. Rex,,,Violent Femmes
,,,,,,,,Van Morrison,AC/DC,,,Buffalo Springfield
,,,,,,,,The Offspring,Creedence Clearwater Revival,,,Weezer
,,,,,,,,The Romantics,Mötley Crüe,,,3 Doors Down
,,,,,,,,Green Day,Ozzy Osbourne,,,Joe Walsh
,,,,,,,,,,,,
Hip-hop,Eve,,,Juelz Santana,Logic,Run–D.M.C.,Nicki Minaj,21 Savage,Rapsody,Nicki Minaj,Crime Mob,Juelz Santana
,2 Chainz,,,Playboi Carti,Lil Pump,Nicki Minaj,,The Diplomats,Lil Uzi Vert,,Queen Latifah,Remy Ma
,Kanye West,,,Young M.A,Dreezy,,,Lil' Kim,PnB Rock,,A$AP Ferg,Cam’ron
,,,,,Missy Elliott,,,Skeme,Roxanne Shante,,,50 Cent
,,,,,,,,The Lady Of Rage,Kamaiyah,,,Jeezy
,,,,,,,,Beastie Boys,Lil Wayne,,,Drake
,,,,,,,,J.J. Fad,Lady Leshurr,,,MC Lyte
,,,,,,,,Yo Gotti,Migos,,,B.o.B
,,,,,,,,Future,G Herbo,,,Big Pun
,,,,,,,,,Cam’ron,,,Snoop Dogg
,,,,,,,,,Maxo Kream,,,Da Brat
,,,,,,,,,YG,,,Foxy Brown
,,,,,,,,,Lil Uzi Vert,,,Skooly
,,,,,,,,,Future,,,DeJ Loaf
,,,,,,,,,Juelz Santana,,,Beastie Boys
,,,,,,,,,,,,Monie Love
,,,,,,,,,,,,Eminem
,,,,,,,,,,,,Jim Jones
,,,,,,,,,,,,Cardi B
,,,,,,,,,,,,Bankroll Fresh
,,,,,,,,,,,,Salt-N-Pepa
,,,,,,,,,,,,
Folk,Steve Tyssen,Holley Maher,Little Green Cars,James Taylor,The Staves,Whitney Rose,Devendra Banhart,Phil Ochs,Joni Mitchell,Beta Radio,Tim Buckley,Judy Collins
,Roadkill Ghost Choir,Joe Purdy,Laura Gibson,The Sea The Sea,Richard Thompson,,The Harmaleighs,Nick Mulvey,,The Head and the Heart,,Shovels & Rope
,Johnny Flynn,Wild Rivers,Califone,Fossil Collective,John Paul White,,Dori Freeman,Vance Joy,,,,Dave Van Ronk
,Seth Avett & Jessica Lea Mayfield,Iron & Wine,All Our Exes Live in Texas,Hozier,Sufjan Stevens,,,,,,,Half Moon Run
,Good Advice,,Tutlie,,,,,,,,,First Aid Kit
,Sunparlour Players,,Austin Basham,,,,,,,,,Vashti Bunyan
,,,Haley Heynderickx,,,,,,,,,Joseph
,,,Karen Dalton,,,,,,,,,Edward Sharpe & The Magnetic Zeros
,,,,,,,,,,,,Graham Colton
,,,,,,,,,,,,The Wind and The Wave
,,,,,,,,,,,,Richie Havens
,,,,,,,,,,,,Joan Baez
,,,,,,,,,,,,Houndmouth
,,,,,,,,,,,,Bob Dylan
,,,,,,,,,,,,Bob Dylan
,,,,,,,,,,,,Fairport Convention
,,,,,,,,,,,,The Lumineers
,,,,,,,,,,,,Bob Dylan
,,,,,,,,,,,,Lord Huron
,,,,,,,,,,,,Birdtalker
,,,,,,,,,,,,Milo Greene
,,,,,,,,,,,,
Country,Rick Trevino,,,Diamond Rio,Eric Church,,,Thomas Rhett,Brooks & Dunn,,,Grayson Capps
,Hal Ketchum,,,Randy Houser,David Nail,,,Dolly Parton,Luke Bryan,,,Dustin Lynch
,,,,Dierks Bentley,,,,Vince Gill,Shania Twain,,,Aaron Tippin
,,,,Cole Swindell,,,,Luke Bryan,,,,Dustin Lynch
,,,,Daryle Singletary,,,,Little Texas,,,,Rodney Atkins
,,,,Chely Wright,,,,Mel Tillis,,,,Dolly Parton
,,,,,,,,Jo Dee Messina,,,,Randy Travis
,,,,,,,,Mark Chesnutt,,,,Old Dominion
,,,,,,,,Kip Moore,,,,Joe Nichols
,,,,,,,,,,,,Townes Van Zandt
,,,,,,,,,,,,Brett Eldredge
,,,,,,,,,,,,Luke Bryan
,,,,,,,,,,,,Chris Young
,,,,,,,,,,,,Luke Bryan
,,,,,,,,,,,,Travis Tritt
,,,,,,,,,,,,John Michael Montgomery
,,,,,,,,,,,,Toby Keith
,,,,,,,,,,,,Eric Church
,,,,,,,,,,,,George Strait
,,,,,,,,,,,,Jason Aldean
,,,,,,,,,,,,Billy Ray Cyrus
,,,,,,,,,,,,
Classical,Johann Sebastian Bach,Bedřich Smetana,Jean Sibelius,Johann Pachelbel,,Ursula Oppens,Jean Sibelius,George Gershwin,Gustav Mahler,Franz Liszt,Aaron Copland,Anton Bruckner
,Erik Satie,Gustav Holst,Michael Finnissy,,,Franz Schubert,,Camille Saint-Saëns,Johann Sebastian Bach,Ralph Vaughan Williams,Gioachino Rossini,Gabriel Fauré
,,,,,,,,Alexander Borodin,François Couperin,Arvo Pärt,,Sergei Rachmaninoff
,,,,,,,,Modest Mussorgsky,Ludwig van Beethoven,Béla Bartók,,Christoph Willibald Gluck
,,,,,,,,Astor Piazzolla,Isaac Albéniz,Franz Joseph Haydn,,Johann Sebastian Bach
,,,,,,,,,,John Adams,,Maurice Ravel
,,,,,,,,,,Arvo Pärt,,Richard Wagner
,,,,,,,,,,,,Gustav Mahler
,,,,,,,,,,,,Pyotr Ilyich Tchaikovsky
,,,,,,,,,,,,Igor Stravinsky
,,,,,,,,,,,,Arnold Schoenberg
,,,,,,,,,,,,Nikolai Rimsky-Korsakov
,,,,,,,,,,,,Johann Strauss II
,,,,,,,,,,,,Felix Mendelssohn
,,,,,,,,,,,,Philip Glass
,,,,,,,,,,,,Sergei Prokofiev
,,,,,,,,,,,,George Frideric Handel
,,,,,,,,,,,,Joaquín Rodrigo
,,,,,,,,,,,,Antonín Dvořák
,,,,,,,,,,,,Charles Ives
,,,,,,,,,,,,Maurice Ravel
,,,,,,,,,,,,
Electronic,David Guetta,Illenium,Marshmello,Major Lazer,Lulleax,Mark Knight,Major Lazer,Illenium,Major Lazer,Kaskade,Toni Braxton,DJ Snake
,,FTampa,Benny Benassi,Matisse & Sadko,Ed Sheeran,Jarryd James,Romy,Major Lazer,The Shapeshifters,,The Chainsmokers,Bibio
,,Garmiani,,R3HAB,Fedde Le Grand,,Miley Cyrus,Morgan Page,Calvin Harris,,,Kaskade
,,"Axwell /\ Ingrosso
",,,Axwell,,,Ferry Corsten,Tom Hangs,,,Martin Garrix
,,Sam Feldt,,,IZECOLD,,,Family and Friends,Late Night Alumni,,,Icona Pop
,,Galantis,,,Martin Garrix,,,,Avicii,,,Madison Mars
,,Various Artists,,,San Holo,,,,Sunfreakz,,,Eric Prydz
,,,,,Parker,,,,deadmau5,,,Zonderling
,,,,,Yellow Claw,,,,Kaskade,,,Eric Prydz
,,,,,,,,,Hardwell,,,Joachim Garraud
,,,,,,,,,W&W,,,Axwell
,,,,,,,,,Gareth Emery,,,Krewella
,,,,,,,,,Tash SulBeigea,,,Tiësto
,,,,,,,,,The Chainsmokers,,,John De Sohn
,,,,,,,,,,,,Kaskade
,,,,,,,,,,,,Guru Josh Project
,,,,,,,,,,,,Martin Garrix
,,,,,,,,,,,,Hardwell
,,,,,,,,,,,,Steve Angello
,,,,,,,,,,,,Armin van Buuren
,,,,,,,,,,,,Sander van Doorn
,,,,,,,,,,,,
Jazz,Pabzzz,Joey Pecoraro,BROCKBEATS,DJ Cam,halberd,Hawks,Juan Rios,Lawrence Welk,Nina Simone,Stan Getz,,Dinah Washington
,"Tommy Flanagan, Ron Carter & Tony Williams
",Living Room,Otesla,Jimmy Dorsey & His Orchestra,Frank Sinatra,Shigeto,fantompower,Count Basie,Tony Bennett,"moow
",,Art Pepper
,Tied & Tickled Trio,Groove Collective,"Esbjörn Svensson Trio
",Ra Ra Raj,,Various Artists,Dewaldo,Benny Goodman,Welshly Arms,Bill Evans,,Alice Babs
,Various Artists,joeshort,GurtyBeats,Nils Petter Molvær,,Electric Wire,Yelena Eckemoff,Woody Herman & His Orchestra,,St Germain,,"Harry Connick, Jr."
,The Cinematic Orchestra,Xploding Plastix,Otesla,,,The Greg Foat Group,Scott Hamilton,,,Etta James,,Dean Martin
,Dan Cray Trio,Joe Corfield,Axian,,,"Beegie Adair
",Cbakl,,,,,Ann Hampton Callaway
,Brous One,Simon Jefferis,Skalpel,,,Alex Tronic,emune,,,,,John Tesh
,Various Artists,,,,,Various Artists,,,,,,Lionel Hampton
,,,,,,Mujo,,,,,,Count Basie
,,,,,,,,,,,,Artie Shaw
,,,,,,,,,,,,Buddy Rich
,,,,,,,,,,,,Glenn Miller
,,,,,,,,,,,,
K-Pop,TAEMIN,,,,KARD,BLACKPINK,BLACKPINK,,Monsta X,Chanyeol,,Henry
,Monsta X,,,,EXO,TWICE,Wanna One,,KARD,EXO,,NCT 127
,,,,,,,TWICE,,EXO,IU,,KARD
,,,,,,,,,,WINNER,,Epik High
,,,,,,,,,,EXO,,SUNMI
,,,,,,,,,,,,PENTAGON
,,,,,,,,,,,,SEVENTEEN
,,,,,,,,,,,,SEVENTEEN
,,,,,,,,,,,,GOT7
,,,,,,,,,,,,KARD
,,,,,,,,,,,,Hyuna
,,,,,,,,,,,,Eddy Kim
,,,,,,,,,,,,EXID
,,,,,,,,,,,,Red Velvet
,,,,,,,,,,,,Super Junior
,,,,,,,,,,,,Imagine Dragons
,,,,,,,,,,,,Red Velvet
,,,,,,,,,,,,Wanna One
,,,,,,,,,,,,
