,40-60,,,,,,,,,,,,,,,,,,,,,,,,
Red,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow,,,,,,,,,,,,,,,,,,,,,,,,,
Green,,,,,,,,,,,,,,,,,,,,,,,,,
Blue,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,,,,,,,,,,,,,,,,,,,,,,,,,
Pink,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,,,,,,,,,,,,,,,,,,,,,,,,,
Black,,,,,,,,,,,,,,,,,,,,,,,,,
White,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,,,,,,,,,,,,,,,,,,,,,,,,,
Gray,"https://i.scdn.co/image/c34cb2d0fd542c10b64064bbc32cc48a4b494153",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,61-80,,,,,,,,,,,,,,,,,,,,,,,,
Red,"https://i.scdn.co/image/39ac61b157b85d869c593e7d7efa47c125f97bfc","https://i.scdn.co/image/cea8f86b1a8eda7fa7024093186c4517fdde22ac","https://i.scdn.co/image/f6b47def50fc682020af4a528d957a78cf1cbf6a",,,,,,,,,,,,,,,,,,,,,,
Orange,"https://i.scdn.co/image/de3876cb74e240a15451e172c856f1162ac4d65e",,,,,,,,,,,,,,,,,,,,,,,,
Yellow,"https://i.scdn.co/image/b52c36c904d9fad5cd64f2d010a07a840678edf3","https://i.scdn.co/image/78a9bfda0ad4a4bc41ff301fa4a1349483d6af1c",,,,,,,,,,,,,,,,,,,,,,,
Green,"https://i.scdn.co/image/f7ccf14994837cad595dc14a8d8b29ae4c5d60b3","https://i.scdn.co/image/67a7cb0a8d42ec3be3211081827567f358259fc2","https://i.scdn.co/image/3a9694930e367236d22dc3059cd81df08a767769","https://i.scdn.co/image/55fc98aa45746edf3e6334bcd1a8f1d35c3f9ffc","https://i.scdn.co/image/5a6ffa8082d067fa48ed5dbe4c4c528b9bb0a76a","https://i.scdn.co/image/f5fc37ae229be515523748feb463c5e6224762eb","https://i.scdn.co/image/fbf08c435581f1f35da79413ec1f4eb88b8505aa","https://i.scdn.co/image/021195b736a567fbe27ae2e84c55bd2f6721a892",,,,,,,,,,,,,,,,,
Blue,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,"https://i.scdn.co/image/cd1a73570312db0977070c13952b001a7f9dc6d4",,,,,,,,,,,,,,,,,,,,,,,,
Pink,"https://i.scdn.co/image/07b676744d50ad3b59e55e744c124765eb769056",,,,,,,,,,,,,,,,,,,,,,,,
Brown,"https://i.scdn.co/image/ad7c1cea64db1e1d497f6577b1597bcb1f994777","https://i.scdn.co/image/c1198389b8aa0fa3ff453e4c7bdc2b1665e70386","https://i.scdn.co/image/15900f264ca29b0af45843c36ba37478c52eee65","https://i.scdn.co/image/65e3d6d8d73e98bec7a3085e611b5e33c8fe5224","https://i.scdn.co/image/1cae736c9abec88ea7b0eaf0c4d45e245b256182",,,,,,,,,,,,,,,,,,,,
Black,"https://i.scdn.co/image/a55b588c9ab87ecfc8181dcc7a40e0e02b9cda39","https://i.scdn.co/image/b3b97a6eef240a7b2214eff1a83901bd6e31f839","https://i.scdn.co/image/28e112fd953bc355b4a364213ab1aae600dc248a","https://i.scdn.co/image/c78fb1b0f928d132993fdf823d96dd72c134d873","https://i.scdn.co/image/ed8b619e4f46507aad2b6337dc287c15e726a997","https://i.scdn.co/image/2bc742038755e7ebb305689b0c7b0ef15503a27f",,,,,,,,,,,,,,,,,,,
White,"https://i.scdn.co/image/9855bf24e170909378de30005695126d7ed8fd24","https://i.scdn.co/image/2c5e6aad21d5588d820a72b62821be77f1250032","https://i.scdn.co/image/afa7b61787f4ae5ea245b927aa301ab3a1f263c7","https://i.scdn.co/image/1c01cacb804a6e87ab16aa6d7052cca302f5c02e","https://i.scdn.co/image/5038d0c1bdccba3af975d44f76c13582479b3cf8","https://i.scdn.co/image/40cb3467207001433913134447bc978c2d424d10","https://i.scdn.co/image/08038c1b5a926d11800d007dfb726418b5ba0dfb","https://i.scdn.co/image/84c00681f2040bafb1cc87bc0b06d766f5e56e63","https://i.scdn.co/image/f3c41c44d3029ee3405f09caa53b7e9a02afdb50",,,,,,,,,,,,,,,,
Beige,"https://i.scdn.co/image/a6721602f7f9b2e49aea4752c2929950b3256e4e","https://i.scdn.co/image/9cd26531727df1f8e4493328f7b583a9749e33bc",,,,,,,,,,,,,,,,,,,,,,,
Gray,"https://i.scdn.co/image/94c5a5ff29fcccd055c0c561c171a7ff07c585e3","https://i.scdn.co/image/1b17b41f4e75287ab68c4290026594d94ab015ab","https://i.scdn.co/image/ec72b9151a400d6ece9beb9f65d55ad37491627c","https://i.scdn.co/image/967089a394a33b98836be3412f8ebf43f135628c","https://i.scdn.co/image/c04115c17ea91f6863cfd8fa9876c7a66fc87a8f","https://i.scdn.co/image/98c7d8c389e7a7699121c93be8f79f21da5904a8","https://i.scdn.co/image/8c14918b5e64b03740a0a8e88bb7fcfe99b8407f","https://i.scdn.co/image/44862ca4966fdf3cb862fdc697f5b5a98f763a9b","https://i.scdn.co/image/d989d1f2ec8067eb1a256370386a56bd22861378","https://i.scdn.co/image/248cf4c43a09393cf6f63ed137e6a8e20eb7e119","https://i.scdn.co/image/af176511d7568d147d25b9436ed5508360504c66","https://i.scdn.co/image/5bd30bbccf96650daed5fd39dc67ce3a36492914","https://i.scdn.co/image/417c0e9547a25764613b151f57422d76fca63bce","https://i.scdn.co/image/71ad0ca4643ae8ecbb4e80a64641823bcad7e625","https://i.scdn.co/image/3395afb09e418b2b3173be4a09ca76e8550de110","https://i.scdn.co/image/19f073cb51144a11f4275133f1cc0bfc8990a770","https://i.scdn.co/image/01f052d7f0f1df2a4584cc75b67639a51d7f631a","https://i.scdn.co/image/7d42ad03f17b86b83c38e135a66cfc78adf42f0c","https://i.scdn.co/image/de9439753c53cb26080405f7310c9b17565f8b9c","https://i.scdn.co/image/ab722d8c4b2727cbdd8a109a205918c68386ef25","https://i.scdn.co/image/ced97f1b18277b52d7bbf8e5149e3b3f1946d572",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,81-100,,,,,,,,,,,,,,,,,,,,,,,,
